title,description,rating,link,date,mine,tags,comment,visibility,istop,picurl
大富翁4,Richman 4/益智/模拟/策略/PC/Softstar Entertainment Inc./1998-10-05,9.2,https://www.douban.com/game/10739418/,2023-03-11 16:26:53,5,"回合策略,经典,童年回忆",很好，但私心觉得不如3好,public,,https://img2.doubanio.com/lpic/s9099972.jpg
纪念碑谷 Monument Valley,益智/冒险/PC/iPhone/iPad/Android/USTWO/2014-04-03,9.6,https://www.douban.com/game/25865152/,2023-03-11 15:48:05,5,"独立游戏,艺术",非常神奇的游戏，创意和艺术性满分，但是解谜难度印象里一般，流程似乎也很短,public,,https://img9.doubanio.com/lpic/s28384635.jpg
荒野乱斗 Brawl Stars,矿星之争/乱斗/清版/iPhone/iPad/Android/Supercell/2017-06-15,8.2,https://www.douban.com/game/27069765/,2023-03-11 10:56:25,4,,难得一直在玩的手游，单人游戏转圈组队是我一直不能理解的SB行为,public,,https://img2.doubanio.com/lpic/s29521243.jpg
塞尔达传说 旷野之息 ゼルダの伝説 ブレス オブ ザ ワイルド,游戏/冒险/动作/2017-03-03,9.8,https://www.douban.com/game/26817171/,2023-03-07,5,,虽然没通关……但还是标记上吧,public,1.0,https://img1.doubanio.com/lpic/s29308930.jpg
文明6 Sid Meier's Civilization VI,PC/MAC/IPHN/IPAD/ANDR/PS4/XONE/NS/LIN/策略/2016-10-21,9.2,https://www.douban.com/game/26791492/,2023-03-07,5,,发现还停留在2016年5月16日的预购……事实证明4X游戏不能买预购，非得到两个资料片后才能变得好玩。,public,1.0,https://img9.doubanio.com/lpic/s28716454.jpg
巴巴是你 Baba Is You,益智/PC/Mac/iPhone/iPad/Android/Nintendo Switch/Linux/2019-03-13,9.6,https://www.douban.com/game/27609956/,2023-02-09 23:57:38,5,,第一个没有通关就来标记的作品，但我怀疑自己（不看攻略）能否通关……真的是神一般创意的作品,public,1.0,https://img1.doubanio.com/lpic/s33444630.jpg
最终幻想7 重制版 FINAL FANTASY VII REMAKE,FF7R/ファイナルファンタジーVII リメイク/FF7RE/太空战士7 重制版/角色扮演/冒险/动作/PC/PlayStation 4/PlayStation 5/Square Enix/2020-04-10,9.1,https://www.douban.com/game/26425696/,2022-08-13 21:45:58,5,,补标@7.25 50小时一周目通关。由于一个人打太孤单，捎带着还浏览了b站几个全流程录像的视频里的弹幕……了解更多信息之后觉得SE的这种处理真是绝妙，新玩家可以享受故事不必说，老玩家也会因为时不时的闪回时刻保持对剧情走向的悬念。另外很喜欢这种半即时战斗系统，第一章的boss战挂了几次后不得不停下去搜攻略一下就让我意识到这不是简单的ACT战斗，可琢磨性极高，应对像解数学题一样。中间还是有略冗长的迷宫、重复利用的地图、不够完美的非关键场景对话效果等，但总体瑕不掩瑜，从头到尾确实处处是电视剧/电影级别的演出效果。我后来又去搜了相关的东西，三个主角光是战斗时的语音就各有300个以上，细致到HP不同时切换角色触发的语音都不一样。正是这种体量的工作量堆出了这样的作品，鼓掌,public,,https://img9.doubanio.com/lpic/s33489676.jpg
媚肉之香 媚肉の香り～ネトリネトラレヤリヤラレ～,文字冒险/PC/2008-03-28,9.1,https://www.douban.com/game/34438580/,2022-08-12 18:00:08,5,Galgame,补标@6.26 叙事诡计安排得精彩，得知底牌时不禁又二周目了几个场景。沙耶这个角色塑造得真是超有特点。另外拒绝了所有诱惑之后才能有最后TE的温馨和甜蜜，作为一个H-Galgame真是难得.,public,,https://img2.doubanio.com/lpic/s33302141.jpg
白色相簿2 终章 WHITE ALBUM2 -closing chapter-,WA2/文字冒险/PC/Leaf/2011-12-22,9.5,https://www.douban.com/game/10762301/,2022-08-12 17:51:08,5,"Galgame,爱情,R18",补标@6.9 神作确认。这个作品的体量不是短评可以评价得了的，只能说作者对人性太过了解了。,public,1.0,https://img9.doubanio.com/lpic/s9966366.jpg
白色相簿2 序章 WHITE ALBUM2 -introductory chapter-,WA2 IC/文字冒险/PC/Leaf/Sting Entertainment/2010-03-26,9.3,https://www.douban.com/game/10753030/,2022-02-26 14:20:18,5,"Galgame,爱情,R18",这部完全是当日剧看，而且是能满足“当没有播出时长限制时，可以做到怎样精细地描绘人物”好奇心的作品。对人物刻画之细腻和耐心令人惊叹。编剧很小心地编织了个“谁都没有错只是相遇就已经错了”的宿命故事，几乎不依靠突发事件驱动，只靠已经设定好性格的人物通过自己天生的动机就能驱动，这算是剧本能达到的一种极致了吧。声优的演出大加分。,public,,https://img9.doubanio.com/lpic/s28959156.jpg
